,chunk_number,paragraph
10,11,"But report this to the captain , I will ! The captain don 't quite have the time right now to be hearing complaints . Now 's the moment , lad . It couldn 't be better . I can 't come now . She 's hurt . Something 's happened . I can 't get it out of her . Let her people take care of her . We have work to do , you and I. Are you , uh , coming , then , Mr. Dickie ? Get her in some warm clothes . He has a hold on you . Look , I 'll be back . Just stay with the Jacks . Stay with them until I get back . Where do we go ? What do we do ? Do you people understand anything ? Go to the common area and wait for instructions ."
11,12,"Come on ! Watch out for her . I 'll be back . You can 't count on him . Not a man like that . Oh , my girl . [ crying ] You 're locking it ? Just trying to keep things orderly . Looks like they 're loading up the lifeboats . I never imagined this in my wildest dreams . People leave their staterooms in a panic . We go in and clean up after them . But what about the people down here ? Come on ! Time is money ! This way . Hold up . Everything will be all right . Captain Smith , may I have a word with you , sir ? I 'd appreciate a true appraisal of our situation ."
12,13,"We 've been damaged ... badly . How badly ? The ship has a couple of hours . This information must not be circulated for obvious reasons . Are they any rescue ships on the way ? So far we have been unable to contact any vessel near enough to help us in time . It is imperative that we get the women and children into the lifeboats . You might want to see to Mrs. Paradine . Of course . Without delay . Mr. Park . There are lifeboats for only half of those on board . I see . Thank you for your candor . Godspeed to you , Captain . And to you , sir . We 'll see you later . [ whirring ] [ wireless transmission ] Titanic ... is that you ? Did you ever get your traffic from cape grace ? Some bloody fool is asking about our passenger mail !"
13,14,"Come at once ! We 've struck a berg . It 's a C. Q. D. We 're sinking . Tell your captain ... We 've only got an hour . [ knock on door ] What in the name of heaven ? It 's the Titanic , sir . She 's struck an iceberg . She 'll sink within an hour . Dean , turn the ship around immediately . North- northwest . Aye , Captain . Are you certain of this message ? Absolutely , sir . Folks won 't survive 20 minutes in this freezing water . Send word to Captain Smith we 're coming fast as we can . Ohh ... even at full steam , it 'll take 4 hours to reach her . Where is my husband ? Where is he ? Here , ma 'am , drink this . You have to get dressed ."
14,15,"My babies . I can 't put my babies into a lifeboat . It 's freezing . It 'll be fun ! Now we 'll get to go on a boat ! STEWARD : Everyone up on deck , ma 'am . I 'm coming ! I 'm coming as fast as I can . Did you pack the children 's things , Alice ? The nappies and the warm leggings and the baby 's milk cup and his teething ring ? Don 't be scared , Lorraine . We 'll take some sugar water , all right ? There 's no time , ma 'am ! We have to go ! I can 't ! I can 't go without my husband . I 'm not leaving without my husband . Alice ? You get Lorraine , ma 'am . We 're going to drown !"
15,16,"Wait ! We must wait for my husband ! Alice ? Come back here ! Come back here right now ! You must have the cotton for Trevor 's little ear , and you don 't have the sugar water ! Are we going to drowned , Mommy ? Oh , no . Of course not . No , it 's nothing but a drill . It 's just some kind of a drill . Oh , poor darling little girl . People , please listen to your instructions . This group will be in boat 4 , and this group will be in boat 8 . They will be ready momentarily . The important thing is to keep warm . Here . Here . Glad I grabbed these on the way up . Hey , put on that life vest ."
16,17,"It doesn 't do much for a lady 's figure , but -- hey ! No room for luggage , buster . Leave everything . I even left a wad of money rolled up in a pair of french bloomers . Hand- embroidered , but what the hell ? Darling , you look so grave . Aren 't there enough boats ? No . They 're taking women and children first as a precautionary measure . Then I 'll wait and go when you do . You have to get on with the other women . We 'll be together in a few hours . In heaven or in hell ? STEWARD : We 'll be ready in just a moment . I want to know the truth . We have about an hour before this ship sinks . I 'll take you to a lifeboat and find you later . In a few hours we 'll be having breakfast on some freighter . Is that a promise ? Now , ladies and gentlemen , would you all please line up by the door ?"
17,18,"And please keep order here . That is the main thing . MAN : Are there any more women here ? Yes , come on , ladies . Do you know what this is about ? Some minor damage . They 're just taking precautions . You ! It was that woman Alice Cleaver . She has the Allison baby . Get ahold of yourself , Mrs. Miller . She 's obviously helping them with the children . We have an emergency . Locked ! They bloody locked us up down here ! Where are all the bloody Stewards ? Go back . Go back the way we come . Everything will be all right when we get to America . Everything will be all right once you 're baptized in the Lord 's church ."
18,19,"I 'll never be baptized . Of course you will . Of course . We 'll not let an iceberg stop us . We will not . I am damaged goods . Oh , my Lord , girl . You can 't give up because some bloody bully forces himself on you . Do you think God will hold you accountable ? He tests us , in every way . Fight the good fight of faith . Do you think Clarinda Jack goes down with a whimper ? Clarinda Jack goes down with a sword . Listen ! The water 's ankle- deep in some of the cabins in the front ! Nobody tells us what to do . Aye . We laid eyes on one of the Stewards . He said an officer was coming . Where the hell is he ?"
19,20,"We 're locked up down here ! We must wait . Clarinda , play some music . We must keep calm , keep our spirits up . Show the children what courage is . # Seems like only yesterday # # I sailed from out of cork # # I wandered off from Erin 's Isle # # And landed in New York # We 've gotta keep the wood away from the fire ! Shut those dampers now ! Close the main lock ! Any response ? No . The ship seems to have stopped for the night , like we have . Well , alert me of any changes . I 'll be resting on the chart room settee . Keep a lookout . You heard the old man . He 'll want to know if she comes any closer . Just what I 've been longing to do , wake him up . Look what I found . It 's so dark down there . It looks so cold ."
20,21,"Oh , it 'll only be for a few hours . There 's ships on the way here right now . I would just feel better if we were together . So would I , but the captain was adamant , and I gave him my word . To Bolivia . We will get there , won 't we ? Next year we 'll be sitting on our Terrace in La Paz , looking down on all the red- tiled roofs , with Claire , too . There 's something I must tell you about Claire . I love her . Without even knowing her , I love her . Almost as much as I love her mother . Think of the stories we can tell her . We 'll look back on this as a ... real adventure . It 's got everything . Action ... danger ... romance . We 'll brag about this to our grandchildren . Grandma and grandpa ... were on the Titanic . [ splash ] [ splash ] STEWARD : Move it , everybody . Move it along . Come on ."
21,22,"Come on . We haven 't got all day . That 's it . Isn 't that lovely ? Music to drown by . Aye . So , what 's the happy news from the bridge ? Oh , it looks grim , Phillips . We 're sinking . They 'll start loading folks in the lifeboats soon . So , any word from the Carpathia ? They 're hours away , but still our best bet . I 'm sending out the new signal , S. O. S. Might be our last chance to use it , eh ? Yeah , right . What a sorry sight that 'll be , eh ? I mean , the classiest ship ever built towed in by a rust bucket . God . Pumps can 't see to handle it , Captain ! We need light , Chief , and power for the wireless . We 'll try , Captain !"
22,23,"Well , do what you can . Mr. Allison . Mr. Allison ? Now , don 't you be afraid . Alice is here . I ain 't going to let nothing happen to you . Not this time . Why isn 't this lifeboat being filled ? Nobody said to load the boats . See here . Get back with the other passengers ! I am the chairman of this bloody shipping line . I want these people aboard this boat immediately . What became of the boat assignments , Mr. Lowe ? Nobody ever had any boat assignments , sir . Hurry . If it is serious , we must make sure to get on a lifeboat . We 'll take this one . I 'm frightened . Stop whining and get in the boat , Lulu ."
23,24,"I 'm sorry , ma 'am , but no dogs . And women only right now , sir . What are you saying ? Nobody 's going to tell me to leave Charlie . That 's the orders , ma 'am . Your husband will have to wait behind . I 'm not talking about my husband . I 'm talking about Charlie . I 'm not going to leave my helpless little dog on a sinking ship . Come on , Lulu . You can 't let these few women go alone . You heard me . No men , no dogs . Charlie will sit right here , thank you . Please , right this way . Watch your step . Right this way . Please , watch your step . We can 't fill these boats to capacity , sir . 65 people , and they 'll buckle under the weight ."
24,25,"I say lower them half- filled . We can load more people down there from the gangways . No , no , no . Too dicey . How long do you think they would last if they went into the drink ? My God , man , that water 's 28 degrees . Better to take that risk than to kill them right off , sir . You men know how to row ? Think so , sir . Good . Then you 're in command of this boat . Stand by the aft gangway and be ready to receive more passengers . Now , are there any more ladies before this boat goes ? Me , sir . Me and my baby . Yes , yes , of course . Let one of the men hold your baby while you get in . I 'll take him . Yes , yes . Sweet baby ."
25,26,"Just till I get on the boat . I don 't want no strangers holding my boy . WOMAN : It 's only supposed to be ladies and children ! Don 't let him on ! All right , men . Let 's go . Come on . Everything will be all right , folks . [ chains pull ] [ music plays ] Sir , we 've spotted what looks like a steamer maybe 10 miles off . Splendid . Has she acknowledged you ? No , sir , not yet . Well , keep signaling . Tell her we 're the Titanic . We 're sinking . Come at once . If she 's answering , I sure enough can 't tell . Aye , she 's too far away . She can 't see us . Any response , sir ?"
26,27,"No . No response . I thought I saw something , but ... it was only her masthead light flickering . Fire some rockets . Yes , sir . Lower away ! Lower away ! If you get the hell out of the way , they 'll be able to do something . You 're not going fast enough ! If they go any faster , they 'll drown the whole lot of them ! Do you know who I am ? I don 't care if you 're the bloody prince of wales ! You move back , or I 'll knock your teeth down your throat ! Don 't you point your finger at me , young man . Couldn 't have asked for more . They sent me down here to lock up all the staterooms to prevent looting . We got enough . Haven 't even started yet . I saved the purser 's office till last . People won 't have time to get stuff out of the safe ."
27,28,"What about the people downstairs ? I told them I 'd be back . Plenty of time to be a hero , sunshine . Plenty of time . Yeah , but all hell has broke loose . They 're firing rockets . Garw ! How lovely ! The key fit perfect . Ahh . Fortune smiles . An act of God , that 's what I say . What do you say ? I say we start worrying about how to get off this damn boat . Ha ha ha ! It 's white . They 're supposed to be red for "" distress . "" It 's all we have , sir . Well ... keep firing them ... every 5 or 6 minutes . There are only 7 left in the crate ."
28,29,"Then fire them all ... until they 're gone . Yes , sir . Have a look at her now . MAN WlTH BlNOCULARS : Another rocket . How many is that now , 3 ? A ship 's not going to fire rockets at sea for nothing . Maybe they 're in some sort of distress . Uh , thanks , mate . So kind of you . [ telephone rings ] What do you want ? It 's groves , sir . That 's ship 's firing rockets . 3 so far . Are they ... private signals ? He 's asking if they 're private signals . Fisherman 's flares ? No . Just tell him the rockets are white . Uh , Captain , all we know is the rockets are white . Try the lamp again ."
29,30,"If you get a reply , let me know . Sir . Get your coats . We have to hurry . Trevor -- she took Trevor . Alice took him . What ? She 's crazy . You knew it , and you let her stay . Bess , stop . Stop right now . Where did they go ? Where did she take him ? How should I know ? She ran out into the hall and all those people , and I couldn 't leave Lorraine , and I didn 't know where you were . You just left us ! You let her take the baby ? She grabbed him ! I couldn 't stop her . You weren 't here ."
30,31,"It 's not my fault . We don 't have time for this . Get your coats and go up to the boat deck . Where are you going ? I 'm going to find Trevor . I 'll meet you up on the boat deck . Bess , you have to be strong now . We both must be strong . Our baby . I 'll find him . I swear to God , I 'll find him . All right , Lorraine , come on . Come on . Come on . Everything will be all right , Mommy . Don 't worry . Oh . Oh . [ alarm sounds ] Chief , we 're going to lose another generator . Well , cut them all ."
31,32,"Right , sir . Stop the fans , anything non- essential . At all costs , lads , we 've got to keep the lights and the Marconi going . [ glass shatters ] Carry on , lads ! Keep the water out of that boiler ! Full wide open ! Out of the question . Lock the guns back in the safe . I can 't have you shooting my passengers . You 'd rather they 'd drown ? That 's quite enough , sir . We 've too few men to control a mob , should it come to that . Just -- just keep in mind that a number of our passengers are very influential people . Just remember that . I ... can 't be responsible . So don 't offend anyone in first class by blowing their brains out . Mr. Lightoller ... Here . Take it . That 's it ."
32,33,"That 's it . Sit down , please . Don 't be scared . These boys know what they 're doing . - OK . - That 's right . You 're going , too . - No , no , no . - come along . I 'm going -- No , take your hands off me ! Aah ! No ! Nobody tells Molly Brown what to do . You rotten scrubs . Captain Smith 's going to hear about this . - Sit down , madam . Please be still . - Oh , you shut up . Stand alongside . Be ready to take on additional passengers ."
33,34,"[ women sobbing ] My wife is in a delicate condition . May I accompany her , please ? No , sir , Mr. Astor . No man is allowed on this boat or any of the boats until the ladies are off . The number of the boat , so I can look for her later . 4 , sir . Don 't make me leave you . Nonsense . I 'll be on a later boat . Don 't worry . SAlLOR : OK , ma 'am , watch your step now . Look after her , please . All my life , Mr. Astor . All my life . SAlLOR : No , sir . Let 's go . The boy cannot go . Of course he can go . He 's only 13 . Blast ."
34,35,"No more boys . SAlLOR : Mind where you step . Here . No . Here , Sofia . Take it . You 'll need it . Ida , take your place . We 've been living together for many years . Where you go , I go . I don 't think anyone would object to an old gentleman like Mr. Strauss going with his wife . I won 't go before the other men . I will not be separated from my husband . What am I to do with you ? Ha ha ha . Will you look at this -- a diamond tiara . And it 's a beauty , too , Mr. Dickie , just like I promised . D- Down there in steerage -- What if they can 't get out in time ? They could drown . Can 't save the world , lad ."
35,36,"Not likely . How do I look ? We 'll cozy our way onto one of the boats . W- we 'll be taking spots meant for women and children . Some poor cows and their mangy kids down in steerage . They 'll never know the difference . I don 't think I could live with myself , taking a woman 's spot on the boats . Have you gone daft ? I don 't think I could live with myself if I didn 't try to help . There , take it . It 's yours . I 'm not going . Have you senses left you ? The people down there in steerage -- I can 't just leave them there . They don 't know where to go . There 's the Jacks and Osa . [ snickers ] You 're worrying about your little peach , aren 't you ? More like a sack of potatoes , if you ask me . Don 't worry . They 'll get them up here in plenty of time ."
36,37,"You can have your turn on her . Mind you , there 's been a long line of 'em before you . You dirty beggar . Aah ! Ow ! It was you ! You 're the one ! What did you do to her ? What did you do ? Unh ! She was begging for it ! No ! Aah ! Crash your skull wide open , have I the mind . But I 've got more important things to do . You 're a dead duck , anyway , laddie . Aah ! Give it up , boy ! You 're going down with the ship . [ groaning ] Well ... in that case , I ain 't going to be needing no tiara !"
37,38,"Save yourself , boy . Save yourself ! JAMlE : Hey , out of my way . Are the women and kids still here ? Aye . They come and took a group of 25 . They said they were coming back for more , but we all want to go now . Hey , get your flock . Follow me . Excuse me . Excuse me . Hey , we have to hurry , get you out of here . It 's too late . No . They 're still loading women and kids . You went with him . Yes , but I came back . Look , I told you , I can change . And I 'm here now . I don 't want to live anymore ."
38,39,"What happened to your faith ? Your courage ? There is no God . I look for him , and there is no God . I never felt like this about nobody in my whole life . There has to be a God . He brought you to me . Come on . Excuse us . Hey , excuse me . Please , let us through . I can 't open the gate without orders . My God , man , I 've got to get this woman on a boat . Look at her . She 's been hurt . All right , women and children . Go with the sailors . Go ... now while you 've got a chance . I 'll find you . How ?"
39,40,"We need you with us . - Wha -- - That 's all for now . Let them through . He 's got children . He 's got to get his kids safe on a boat . Hey , let my wife through . And my children ! It 's all right , Billy . We 'll stay together as a family . I 'll be back ... to get you through . Don 't worry . Come on . Let us through ! Hey , you 'll have a peach orchard in Minnesota , and you 'll have your whole family from Denmark . I 'll bet you even become a nurse . Go on . Careful with her . SAlLER , TO CROWD : Do as you 're told ! If I get out of this alive , I 'll find you . I swear I will ."
40,41,"We need help , man . Can you work a davit ? Y- yes , sir , I can try . Good . Come on . SAlLOR : What are you doing , sir ? Uh , let her through . I 'll take it . SAlLOR : Ladies first ! SAlLOR : Stay back there ! There 's nothing but women and children in this boat . Mr. Lowe , take an oar . No , sir , not me . Get into the blasted boat . That 's where you 're needed most right now . - But , sir -- - That 's an order . There aren 't enough boats . I 'm an excellent swimmer , remember ? Wynn , I can 't go without you . Yes , you can ."
41,42,"One foot in front of the other . Think of Claire . Tell me about her again . She 's smart , very smart . She rides with her father . Tell me about her horse . It 's an indian paint . She calls him patch . - I 'm trying honestly I am . - Keep moving . Coming through . We don 't have much time . Go . Just get into the boat . Wynn , I can 't leave you . You couldn 't abandon your daughter . We both knew that deep down . We had a few days . That 's all there was . Please don 't say that ."
42,43,"Now ! You must go now . Get into the boat . Claire is waiting for you . Wynn , she 's yours . Claire is our daughter . Please forgive me . I love you . [ people screaming ] Believe in the Lord , my friend . You must be strong . SAlLOR : Come on . Hurry and get on there now . I 've lost my baby . Sir , can you help me ? I 've -- sir , I 've lost my baby . - Can you help me ? - Bess ! Bess ! I can 't find my baby , my little boy . I can 't find him ."
43,44,"I -- have you found him , Hudson ? I 'm sorry , darling , not yet . I 'm not leaving this ship without my baby . Of course not , Bess . We won 't go without him . - [ rocket fires ] - Look . Look at the lights . Pretty lights . That 's the last of the rockets . Why don 't they respond ? Damn their eyes ! Are they all dead ? A ghost ship ? We can see them , are they all asleep ? Shut down their wireless ? What ? Never mind anymore . Go help with the boats . Stay back . Everyone must stay back ."
44,45,"Everyone , back away . Unh ! Unh ! Aah . No ! No ! Don 't you see ? I got to get back . The Jacks -- unh ! I got to ... help . Please stand back . Stand back . Stand back . Women and children . Ladies . Any more ladies ? SAlLOR : Come on , keep it orderly . Hurry . Come on . MAN : Let 'em through ."
45,46,"[ speaking italian ] [ speaking italian ] No , Papa , no . [ speaking italian ] [ speaking italian ] Ciao , Bella , ciao . Ti amo . To amo , caro , ti amo . Can 't we let the father go ? No . Look at the man ... sitting there , just like that . It 's shameful . Where 's my baby ? There 's no more time . We have to leave . There 's water coming up the stairway . I can 't leave without him . Bess , listen to me . We have to get Lorraine on a lifeboat . Do you understand ? We will stay and look for Trevor , but we must get Lorraine on a lifeboat . Oh , yes . Of course ... We must get Lorraine on a lifeboat . Move away ."
46,47,"Move away . Move it . Aah ! [ woman sobbing ] Aw , now , my dear . Well , we must demand our money back . Absolutely . Every penny . SAlLOR : Please , ma 'am , steady with the oars . Well done ! They 're bonny lads , still at their stations . Aye . Gentlemen ... to you . To you . Yes . Gentlemen , all drinks are on the house . I 'd ask for ice , but this is ridiculous . Cheers . [ wireless beeps morse code ] Gentlemen , you have done your duty . You can do no more . Now it is every man for himself ."
47,48,"That 's the way it is in times such as these . I release you . Abandon your cabin . Save yourselves . Right away , sir . He 's right , Phillips . The power 's almost gone . Phillips , you 're talking to yourself , mate . Guess we 'll get to see a big part of the world tonight , eh ? They say it 's 3/ 4 water . Hey ! Blimey ! You 've killed him . Well , he didn 't deserve to die like a sailor . Come on . Mr. Lightoller , let 's get these people on quickly , please . Where do you think you 're going ? Where 's our boat at ? You can 't come up here . This boat is full ."
48,49,"What about the rest of these lads ? - This boat is full . Now get back . - Sod that ! I 'll shoot the next man who moves . Damn you . Well , gentlemen ... I suppose it 's every man for himself . Mr. Murdock ! Oh , my God ... Why have you deserted us ? Open the bloody gates ! I told you , first class only . This way . SAlLOR : Man the lifeboats . That 's all , gentlemen . You 've done yourselves proud . MAN : Stay with me . Stay with me . Be british ! Men !"
49,50,"Be ... british . Captain , you have to help us . We must have this ship completely searched . We 've lost our baby . You 're still here ? My wife refuses to leave the ship until we find our son . Well , what about this child ? I 'm going on a lifeboat . I 'm going to see to that now . I 'll get her into a boat with a responsible person . There are no boats . Oh , my God ! My babies ! There has to be something , a collapsible . You have to help us . Gods , Captain , please help us . I 'm sorry . There 's nothing I can do . [ sobbing ] Doctor , have some of the mates bring a dozen heavy deck chairs below . Equip them with heavy bindings ."
50,51,"We may have a few hysterics with which to contend . And see to getting some ice and canvas bags . Put them in the cargo bay , for the dead . Iceberg ahead . Port around 10 degrees . Maintain your speed . Porting 10 degrees . Eyes ahead , lads . We 'll do neither the Titanic nor ourselves any good if we succumb to her same fate . Perhaps it would be prudent to stop . We do not have the luxury of prudence . Cut off all heat and hot water . Route every ounce of steam into the engines . We must go faster . Aye , sir . SAlLOR : Stay clear . That 's the way . They told us to wait near the ship for survivors . When the ship goes down , she 'll take everything with her . All those people ."
51,52,"The Jacks . We still have room on this boat . Trust me , ma 'am , we 'll go back , all right ? We just have to wait a bit until things calm down . There are going to be hundreds of people trying to get on this little boat . We 'll end up saving nobody . We can 't leave all those people . [ people screaming ] God be with you ! Will you not try and save yourself , sir ? There is a line of oftern quoted in the newspapers -- "" God himself ... cannot sink this ship . "" But ... she was appropriately named . The titans dared to challenge the gods , and for their arrogance ... they were cast down ... into hell . Forgive me . [ explosion ] Papa , where 's our boat ? We will ask the man that very thing now , won 't we ? It 's frightfully cold . Now , we must keep buttoned up and stay close together . What have I done ? It is a cruel joke ... to have left our lives in Dorchester ... for this . We 've never shrunk from danger or hardship ."
52,53,"We 've always met it head on . You 're a good man , Black Billy Jack . You 're honest . You 're hardworking as the day is long . And you can be tender , too , and I love you for it . Look . Have you even seen so many stars ? GlRL : Must be a million . A billion trillion . Look , love . Our father who art in heaven , hallowed be thy name . Thy kingdom come , they will be done , on Earth as it is in heaven . Ma ! Pa ! Ma ! Pa ! [ wailing ] [ screaming ] Now . We must go back now , before they 're all gone . Do you hear me ? Please , sir , we must go back ."
53,54,"Yes , all right . We 'll go back . Let 's go . You fools ! They 'll drag us under ! They 'll swamp us ! You ? He 's an animal ! He forced me ! She 's crazy ! Shut up ! Bitch ! LOWE : Don 't let her drown ! Leave me be ! All of you , get back in your places . And calm down now ! Get back in your places , all of you ! You 're lower than an animal . Animals wouldn 't do this to their own kind . LOWE : Do you hear me , miss ?"
54,55,"Can you hear us ? ! Sit down ! Do you see me ? Reach for the oar , ma 'am ! I said , sit down ! Arrgh ! Jack Phillips ! Wireless operator ! Anyone seen Phillips ? We 've got to paddle away before it pulls us under . Get back ! Get away ! No ! There 's no more room ! Stop ! You 'll founder us ! Stop at once ! Yes , sir , Mr. Lightoller . Keep your wits about you !"
55,56,"Now spread out ! Even the load ! Hang on , old man . [ groaning ] Who is it ? [ gasping ] Somebody in the water . They 're all around us . Take one , and you 've got 'em all . Too many here as it is . We 'll go under . Somebody ... help me here . Help me get her in the boat ! Ooh ! Me arm ! Aah ... I think it 's broke . Here . Take hold of my hand . Take hold of my hand . I 'll bring you in . Never fear ."
56,57,"I 've got you . [ straining ] [ gasping ] We made it . Just hold on . I never knew nobody good like you . Nobody in my whole damn life . But if I get through this ... Jamie Purse is gonna be a different man . Just hold on and don 't let go . [ groaning ] There 's one thing I know . I love you . You 're bloomin ' outta your head , mate . You 're bloomin ' outta your head , mate . Where is she ? Osa ! You was here , I know you was ! I could feel you . It was no dream . Ah ! Osa ! Sir ... hodo you think it happened to them ? I would not venture a guess ."
57,58,"E. J. Smith is the finest master in these waters . Maybe nobody can master the sea . CREWMAN : Ice ahead ! Take us around at my direction . Aye , sir ! At your direction . How long can they last in that cold water ? Not long . A few minutes , perhaps . An easy death . I don 't know if there is such a thing . Over there ! I think I hear someone . Where ? It 's too late . They 're all dead . We came too late . Everyone , carefully lean your weight to counter the swell . Keep it balanced and stay alert . Sir ... another 's died over here ."
58,59,"Can we ... can we push him off the make too , sir ? Can you see who it is ? The bloke from the wireless , sir . Phillips , isn 't it ? He only wanted to see the world , sir . Cover him with something ... and see if you can 't keep him ... with us . A light ! Pipe down . Nothing but a shooting star . Bull puckey . It 's a flare . Look ! Another one ! It 's a ship ! - I see it . - She 's right . Come on ! Two to an oar ! I 'm not gonna die on some rotten little boat ! No quiero morir ."
59,60,"Mi familia , no quiero morir . No , honey ! Honey ! Calm down . Calm down . Calm down . Listen , there 's help comin ' . There 's a ship not far from here . They didn 't spot the bloody rockets . Do you think they 'll see small boats low in the water ? So we 'll row to them , won 't we , ladies ? Come on , two to an oar . You sit here . Hey , you 're a strong cuss . You can surely help . Come on . [ shivering ] T- t- too cold . Can 't move . Oh , you 're tremblin ' like an aspen . Here ."
60,61,"Take this . I 'll have none of this . Sit back down again . I 'm in charge here . Blasted female ! Any closer , and I 'll toss you overboard . [ women murmuring ] Now come on . On the beat . 1 ... 2 ... 1 ... 2 ... They don 't see us . Well , let 's make them see us ! Come on ! Wave those lanterns around ! Find some towels or some blankets . We can put them on the oars , and we can set those ablaze . And , people , shout ! Shout as loud as you possibly can ! Come on ! We 're over here ! [ all shouting ] Come on !"
