,sentence_1_id,sentence_2_id,sentence_1,sentence_2,label
15,a15,b15,These roads were included as part of two state highways in the initial state highway system in 1919.,"When the United States Numbered Highway System was first designated on November 11, 1926, the new US 23 replaced the other designations along its route.",1
16,a16,b16,"Since creation, the road has been moved and realigned several times.","Through the 1930s and 1940s, the lakeshore routing was created to replace a path that ran further inland through the northern portion of the state.",1
17,a17,b17,"Starting in the early 1950s, various sections in the southeastern and central areas of the Lower Peninsula were upgraded to freeways, bypassing several major cities in the area.",These improvements were completed by the end of the 1960s.,1
18,a18,b18,Since then a new crossing of the Saginaw River at Zilwaukee was built to replace a drawbridge that carried the I-75/US 23 freeway over a shipping channel.Various memorial or tourist route designations have been applied to US 23 in the state since the 1980s.,The highway has been a part of the Lake Huron Circle Tour since the creation of the Great Lakes Circle Tours in 1986.,1
19,a19,b19,The non-freeway section was designated the Sunrise Side Coastal Highway by the Michigan Department of Transportation (MDOT) in 2004 as a part of what is now the Pure Michigan Byway Program.,"Since 2009, it has been called the Huron Shores Heritage Route.",1
20,a20,b20,The highway has also carried two memorial designations related to war veterans and a third related to local civic leaders since a 2001 consolidation of related legislation in the state.,"MDOT has listed two of the highway's bridges on its historic bridge list, one of which is also on the National Register of Historic Places (NRHP).",1
21,a21,b21,Future improvements to the route of US 23 include a proposed northerly extension of the freeway from Standish to one of several locations along the Lake Huron shoreline.,"Another freeway has been proposed in the Flint area that could connect US 23 directly to the south end of I-475.US 23 runs for 362.152 miles (582.827 km) through the Lower Peninsula of Michigan, serving as a freeway bypass to the west of Metro Detroit and a scenic highway  through the northern portion of the state along Lake Huron.",1
22,a22,b22,"Between Flint and Standish, US 23 runs concurrently with I-75; Like other state trunkline highways, it is maintained by the Michigan Department of Transportation (MDOT).","All of US 23 in the state south of the M-32 junction in Alpena has been listed on the National Highway System,US 23 enters Michigan on a freeway northwest of Toledo, Ohio, concurrent with US 223.",1
23,a23,b23,This freeway runs north through farm fields in rural western Monroe County near Lambertville.,"About five miles (8.0 km) north of the state line, US 223 leaves the freeway and turns west onto St. Anthony Road; US 23 continues northward on the freeway.",1
24,a24,b24,"South of Dundee, US 23 crosses the River Raisin before coming to an interchange with M-50 next to the Cabela's store west of town.","North of town, the freeway passes near an industrial area.The landscape takes on a more suburban residential character as the freeway approaches the Ann Arbor area.",1
25,a25,b25,There are separate interchanges for US 12 (Michigan Avenue) and I-94 on the southeast side of the city.,"Between I-94 and Washtenaw Avenue, US 23 carries the Business Loop I-94 (BL I-94) moniker as well.",1
26,a26,b26,That secondary designation leaves the freeway and runs west on Washtenaw Avenue into downtown Ann Arbor and the campus of the University of Michigan.,"At the same interchange, a Business US 23 (Bus.",1
27,a27,b27,"US 23) designation also follows Washtenaw Avenue to the west; east of US 23, M-17 follows Washtenaw Avenue and connects the freeway with Ypsilanti.","North of this interchange, US 23 crosses the Huron River near the campus of the local community college and continues north to a junction with the M-14 freeway.",1
28,a28,b28,"The two merge and run westward along the north side of the city before US 23 turns north and M-14 curves south.North of Ann Arbor, the freeway runs through woodlands and near several lakes.","In the community of Whitmore Lake, US 23 crosses into Livingston County near the city's namesake body of water.",1
29,a29,b29,"East of Brighton, the freeway intersects I-96 and continues north to an intersection with M-59 south of Hartland.",The highway turns northeasterly by Runyon Lake and runs toward the city of Fenton.,1
30,a30,b30,"The trunkline passes through town and bends back toward the northwest, running between lakes Ponemah and Fenton.","Continuing north, the environment around US 23 transitions to rural farm fields as the freeway approaches the south side of the Flint area.West of Grand Blanc, US 23 meets I-75, and the two freeways merge near the Bishop International Airport and continue along the west side of the Flint metro area.",1
31,a31,b31,"These traffic counts are expressed in terms of annual average daily traffic (AADT), which is a statistical calculation of the average daily number of vehicles on a segment of roadway.Near Birch Run, the highway turns northwesterly next to a large outlet mall.","Between here and the Saginaw area, the freeway runs through more wooded lands, crossing the Cass River near Bridgeport.",1
32,a32,b32,"I-75/US 23 enters the Tri-Cities (named for Saginaw, Bay City and Midland) when it bypasses Saginaw to the east.",The freeway intersects M-46 in Buena Vista Township south of the junction with I-675.,1
33,a33,b33,"North of downtown Saginaw, the freeway crosses the Saginaw River on the Zilwaukee Bridge,Past the bridge, I-75/US 23 meets the northern end of I-675 and continues through fields and woods to the Bay City area.","At exit 162, the freeway meets the eastern terminus of US 10 and the western terminus of M-25 west of downtown.",1
34,a34,b34,"The next interchange north is with the Connector M-13 (CONN M-13) freeway, which was the previous northern end of US 23's freeway in Michigan.","The connector runs due northward, and I-75/US 23 turns northwesterly to bypass around Kawkawlin.",1
35,a35,b35,"The highway veers north, crosses the Kawkawlin River and the Pinconning Creek before coming to an interchange southwest of Standish.","There, US 23 curves east, separating from I-75.",1
36,a36,b36,US 23 continues for about three miles (4.8 km) as a freeway which ends at the intersection with M-13 south of Standish.US 23 runs north from the end of its freeway along Huron Road through the community of Standish.,The trunkline turns northeasterly  through lakeshore woodlands after the intersection with Old M-76.Oscoda is the location of the eastern termini of both the River Road National Scenic Byway and County Road F-41.,1
37,a37,b37,"In between those two junctions, the highway crosses the Au Sable River near its mouth, and the trunkline passes by the former Wurtsmith Air Force Base.","Huron Road continues north, running next to Van Etten Lake as it leaves the national forest.",1
38,a38,b38,"Further north, it runs along Cedar Lake when it crosses into Alcona County.When US 23 enters Alpena, it follows State Street through town and turns northwesterly on Chisholm Street.",The intersection of Chisholm and Washington streets marks the eastern terminus of M-32.,1
39,a39,b39,Chisholm Street runs along the Thunder Bay River and crosses the river near Lake Besser.,"The highway leaves town and runs through rural woodlands to the south shore of Long Lake, curving around the eastern side of the lake.",1
40,a40,b40,"Near the northern end of the lake, US 23 crosses into Presque Isle County and runs along the west shore of Grand Lake.","At the north end of that lake, the highway turns west along the Lake Huron shoreline near Thompson's Harbor State Park.",1
41,a41,b41,"The trunkline continues to Rogers City where it bypasses town to the south and west, intersecting F-21 and M-68 in the process; Bus.",US 23 runs through downtown.,1
42,a42,b42,"On the other side of Rogers City, US 23 runs along the lake past Hoeft State Park and along Hammond Bay before crossing into Cheboygan County.US 23 follows the Lake Huron shoreline through Cheboygan County through woodlands past Cheboygan State Park and Duncan Bay.",On the eastern edge of Cheboygan the highway intersects F-05 before following State Street through a commercial district.,1
43,a43,b43,State Street crosses the Cheboygan River on the Cheboygan Bascule Bridge near the mouth of the river and the dock for the USCGC Mackinaw.,"On the west side of the river, US 23 meets the northern terminus of M-27 at the intersection with Main Street.",1
44,a44,b44,State Street continues westerly as C-66 as US 23 turns north on Main Street for a block before resuming west on Mackinaw Avenue.,The highway continues along the lake toward Mackinaw City.,1
45,a45,b45,"As it approaches the village, it passes Historic Mill Creek State Park and several motels.","At Nicolet Street in town, the highway crosses into Emmet County for the short distance to the highway's national northern terminus at I-75's exit 338.Before Michigan became a state, the first land transportation corridors were the Indian trails.Later, during the auto trail era, the modern US 23 also coincided with the east branch of the Dixie Highway and part of the Lower Peninsula section of the Theodore Roosevelt International Highway.",1
46,a46,b46,The Dixie Highway was created by William S. Gilbreath after he developed the Lincoln Highway.,"The highway was designed to link the Great Lakes with the Gulf of Mexico, and to commemorate a half century of peace between the North and the South after the American Civil War.",1
47,a47,b47,"At the urging of Governor Woodbridge Ferris, the northern terminus was located at the Straits of Mackinac.","The highway had two branches in the Lower Peninsula; the eastern branch followed what later became US 23 north of Standish.The highway was also part of the East Michigan Pike, designed to be a counterpart of the West Michigan Pike on the other side of the Lower Peninsula.",1
48,a48,b48,The original route of the East Michigan Pike included a section along the coast of The Thumb between Bay City and Port Huron and used the same route as the Dixie Highway north of Bay City.,"Backers of this auto trail lost out in terms of name recognition to the Dixie Highway, relegating the East Michigan Pike to the list of failed auto trails.",1
49,a49,b49,The southern part of what is now US 23 in the state was also part of the auto trail craze.,"The Top of Michigan Trail was designated in 1917 from the state line north to the Bay City area, before turning inland along other roadways.",1
50,a50,b50,"The name faded from shortly after the time the Michigan State Highway Department (MSHD)The first state highways along the US 23 corridor were numbered M-65 from the Ohio line north to the Flint area and M-10 from Flint north to Mackinaw City by July 1, 1919.US 23 was commissioned on November 11, 1926, with the debut of the United States Numbered Highway System.Starting in 1929, MSHD started updating the route that US 23 followed through the Lower Peninsula.","Late that year, the routing was moved to the east side of the Saginaw River, and M-47 was extended along the former course on the west side of the river.In 1932, US 23 was moved closer to the lakeshore between Spruce and Alpena; the former routing was redesignated M-171.US 23 was moved to its current lakeshore routing between Rogers City and Cheboygan in 1940, and M-33 was extended westerly from Onaway to Afton and north to Cheboygan over the former US 23 roadway while M-68 was extended eastward through Onaway to Rogers City.One of the first pieces of what would later become part of US 23's freeway route was completed in late 1951 or early 1952, when a two-lane bypass was built around the eastern side of Milan.The first future freeway portion of US 23 was built in 1957 from north of Ann Arbor to Whitmore Lake as a divided highway.In late 1960 or early 1961, a new I-75/US 10/US 23 freeway was built from the north end of the Saginaw bypass to Kawkawlin, utilizing the Zilwaukee drawbridge (later replaced by the Zilwaukee Bridge) over the Saginaw River; when it opened, MSHD extended M-13 along the former route of US 23 from the northside of Saginaw into Bay City to the end of the freeway at Kawkawlin.",1
51,a51,b51,"Another section connected the Whitmore Lake area with Brighton in the same timeframe.The MSHD requested additional Interstate Highway mileage in 1968 under the Federal-Aid Highway Act of 1968 including a freeway along US 23 between Standish and Mackinaw City.The MSHD first proposed a realignment of US 223 in 1965; this change would reroute that highway to replace M-151 in southern Monroe County, and use the US 23 freeway to connect to Sylvania, Ohio.The original bridge across the Saginaw River at Zilwaukee was built in 1960 as a bascule bridge to allow shipping traffic to use the river.",Opening the drawbridge would back traffic up on I-75/US 10/US 23 for upwards of four hours on holiday weekends.,1
52,a52,b52,"Approved in 1974, construction on the replacement bridge started in October 1979.",A major construction accident in August 1982 delayed completion of the new Zilwaukee Bridge; a bridge pier partially collapsed when contractors overloaded a section under construction.,1
53,a53,b53,The affected 300-foot (91 m) deck segment tilted to rest three feet (0.91 m) higher on one end and five feet (1.5 m) lower on the other.),"when the southbound span finally opened on September 19, 1988.While that construction was being done, MDOT truncated US 10 at Bay City in 1986; this removed the concurrency between US 10 and US 23 that existed since 1926.In November 2016, construction work began on the freeway between Ann Arbor and Whitmore Lake.",1
54,a54,b54,This construction includes replacement of bridges and reconstruction of off ramps.Officials in the Flint area have proposed extending a freeway to directly connect  I-475 to US 23.,"Such an extension, if built, would ""include a new freeway coming out of I-475, which would snake across Fenton and Cook roads before connecting into US 23 at Baldwin Road"".Most of US 23, along with US 2 in the Upper Peninsula, has been designated the United Spanish War Veterans Memorial Highway.",1
55,a55,b55,"The designation was conferred in Public Act 207 of 1945, with companion legislation for US 2 in 1949.","Signs marking the highway were not erected until 1968 when Governor George W. Romney had them installed.North of Standish, US 23 is a part of the Lake Huron Circle Tour (LHCT).When the Michigan State Legislature consolidated the statutes defining the various memorial highways in 2001, they included the Veterans of World War I Memorial Highway in the law.",1
56,a56,b56,"Defined along I-75/US 23 between Saginaw and Bay City, the designation was included in Public Act 142.",That act also affected another previously designated moniker between the two cities.,1
57,a57,b57,The Roberts-Linton Highway was named in 1931 for local leaders who championed the construction of a highway along the Saginaw River.,This name was applied to the original highway routing between Saginaw and Bay City (now a part of M-13).,1
58,a58,b58,"After the 2001 change, the name was moved to the US 23 freeway.In May 2004, the highway north of Standish was named the Sunrise Side Coastal Highway, a scenic highway designation through what is now called the Pure Michigan Byway Program.","At the end of 2011, the Northeast Michigan Council of Governments (NEMCOG) was working on funding a tourist promotion called ""Telling Stories of the Sunrise Coast"" through the US 23 Heritage Route Interpretive Program.",1
59,a59,b59,"Past efforts by NEMCOG included print media, logos, and other marketing efforts.MDOT maintains a listing of the historic bridges in the state; along US 23, the department has listed two structures.",The bridge over the Ocqueoc River in Ocqueoc Township in Presque Isle County was built in 1937.,1
60,a60,b60,The 106-foot-long (32 m) structure is one of the last three deck truss bridges in the state.,The roadway on the bridge is 38 feet (11.6 m) wide and carries two lanes of traffic.,1
61,a61,b61,The bridge was reconstructed in 1994.The second bridge is the Cheboygan Bascule Bridge in Cheboygan.,This bascule bridge was built in 1940 over the Cheboygan River as the last of its kind before World War II.,1
62,a62,b62,"It was built as a ""two-leaf bridge in a place where a single-leaf bridge probably would have sufficed.""","The structure is 155 feet (47 m) long, composed of two 42-foot (13 m) spans on either side of the central 70-foot (21 m) span; the roadway is 40 feet (12 m) wide with four lanes for vehicle traffic.",1
63,a63,b63,There are also pedestrian sidewalks on either side of the roadway.,"When the bridge is opened to allow river traffic to pass, boats have a 60-foot-wide (18 m) channel for navigation.Route map:",1
64,a64,b64,"Homeworld is a real-time strategy video game developed by Relic Entertainment and published by Sierra Studios on September 28, 1999, for Microsoft Windows.","Set in space, the science fiction game follows the Kushan exiles of the planet Kharak after their home planet is destroyed by the Taiidan Empire in retaliation for developing hyperspace jump technology.",1
65,a65,b65,"The survivors journey with their spacecraft-constructing mothership to reclaim their ancient homeworld of Hiigara from the Taiidan, encountering a variety of pirates, mercenaries, traders, and rebels along the way.","In each of the game's levels, the player gathers resources, builds a fleet, and uses it to destroy enemy ships and accomplish mission objectives.",1
66,a66,b66,"The player's fleet carries over between levels, and can travel in a fully three-dimensional space within each level rather than being limited to a two-dimensional plane.Homeworld was created over two years, and was the first game developed by Relic.","Studio co-founders Alex Garden and Luke Moloney served as the director and lead programmer for the game, respectively.",1
67,a67,b67,"The initial concept for the game's story is credited to writer David J. Williams, while the script itself was written by Martin Cirulis and the background lore was written by author Arinn Dembo.","The music of the game was written by composer Paul Ruskay as the first title from his Studio X Labs, with the exception of Samuel Barber's 1936 Adagio for Strings, considered the defining theme of the game, and a licensed track from English rock band Yes, ""Homeworld (The Ladder)"".Homeworld is listed by review aggregator Metacritic as the highest rated computer game of 1999, and the fourth-highest on any platform for the year.",1
68,a68,b68,"Critics praised the game's graphics, unique gameplay elements, and multiplayer system, though opinions were divided on the game's plot and high difficulty.","The game sold over 500,000 copies in its first 6 months, and received several awards and nominations for best strategy game of the year and best game of the year.",1
69,a69,b69,"A release of the game's source code in 2003 sparked unofficial ports to macOS and Linux, and three more games in the Homeworld series have been produced: Homeworld: Cataclysm (2000), Homeworld 2 (2003), and Homeworld: Deserts of Kharak (2016).","Gearbox Software purchased the rights to the series from then-owners THQ in 2013, and released a remastered collection of Homeworld and Homeworld 2 in 2015 for Windows and macOS which was also highly regarded.Homeworld is a real-time strategy game set in space.",1
70,a70,b70,"Gameplay, as in most real-time strategy titles, is focused on gathering resources, building military forces, and using them to destroy enemy forces and accomplish an objective.","The game includes both single-player and multiplayer modes; the single-player mode consists of one story-driven campaign, broken up into levels.",1
71,a71,b71,"In each level, the player has an objective to accomplish before they can end the level, though the ultimate objective of the mission can change as the level's story unfolds.","Between each of the 16 levels is a hand-drawn, black-and-white cutscene with narrative voiceovers.The central ship of the player's fleet is the mothership, a large base which can construct other ships; unlike other spacecraft, in the single-player campaign the mothership is unable to move.Each level's playable area is a sphere, bisected by a circular plane.",1
72,a72,b72,"Ships can be directed to move anywhere in that sphere, either singularly or in groups.","The game's camera can be set to follow any ship and view them from any angle, as well as display the ship's point of view.",1
73,a73,b73,"The player may also view the ""Sensors Manager"", wherein they can view the entire game map along with all visible ships.","Ships can be grouped into formations, such as wedges or spheres, in order to provide tactical advantages during combat with enemy ships.",1
74,a74,b74,"Non-specialized ships are equipped with weapons to fire upon enemy ships, which include ballistic guns, beam weapons, and missiles.","As a ship is damaged by weapons its health bar depletes, visual effects such as fire and smoke are added, and it can eventually explode.When all mission objectives are completed, the player is given the option to make a hyperspace jump to end the level.",1
75,a75,b75,This may be postponed in order to gather more resources or build more ships.,"When the hyperspace jump is initiated, all fighters return to the mothership while larger ships line up next to it, and blue rectangles pass over the ships and teleport them to the next level.A century prior to the start of the game, the Kushan, humanoid inhabitants of the desert planet Kharak, discovered a spaceship buried in the sands, which holds a stone map marking Kharak and another planet across the galaxy labelled ""Hiigara"", meaning ""home"".",1
76,a76,b76,"The discovery united the clans of Kharak, who knew they were not indigenous to Kharak and craved to solve the mystery of how they came to this hostile planet.After destroying the remnants of both alien fleets, the nascent Kushan fleet sets out for Hiigara, intent on reclaiming their ancient homeworld.","Their multi-stage journey across the galaxy takes them through asteroid fields, a giant nebula, a ship graveyard and several Taiidan outposts.",1
77,a77,b77,"Along the way, they fight other descendants of their Hiigaran ancestors who have turned to piracy.","They also meet the Bentusi, a race of traders, who sell them advanced technology.",1
78,a78,b78,"After discovering that the Bentusi have given aid to the exiles, the Taiidan attempt to destroy them, but are stopped by the Kushan fleet.As their journey continues, the Kushan fleet gives sanctuary to the Taiidan rebel Captain Elson.","With his help, they rally a rebellion to distract the Taiidan fleets.Relic Entertainment was founded in Vancouver, Canada, on June 1, 1997, and began work on Homeworld as their first title.Relic did not specifically set out to create a real-time strategy game; Garden and Relic were primarily focused on making a game with exciting large-scale space battles, and chose the genre in order to support that.",1
79,a79,b79,"As a result, they did not try to make innovative gameplay changes in the real-time strategy genre, but instead worked on making implementing the genre in a fully 3D space to make the space battles they envisioned.The focus on the combat drove several other areas of focus for the development team: according to Garden, Relic spent considerable effort on making high-quality ship models, computer-controlled flight tactics, and maneuvers like immelmann turns because ""everyone is going to zoom right in on the first battle, just to watch"".The sound design, audio production, and music composition for the game was contracted to composer Paul Ruskay and Studio X Labs, which he founded in February 1999 after starting on Homeworld in October 1998.","The closing song of the game, ""Homeworld (The Ladder)"", was licensed from English rock band Yes.Homeworld was highly regarded by critics upon release; it is listed by review aggregator Metacritic as the highest rated computer game of 1999, and the fourth-highest on any platform for the year.The gameplay advances were also highly praised by critics: Lopez claimed that ""Relic not only tackled space, but may have just changed strategy games forever.",1
80,a80,b80,"""Homeworld's single-player plot received mixed reviews; Lopez claimed it would keep players ""rapt with attention"", Samuel summized it as a ""superb story"", and Levine said that it was ""the first computer game to capture the grandeur and epic feel of the Star Wars movies"".","The Eurogamer review, however, considered it only ""(mostly) engaging"", and Keefer said that ""although the story line is fluid and intriguing"", for each mission ""the overall theme is the same: Kill the enemy"", while Ryan criticized the length for such a ""meager single-player game"".Homeworld was released to strong sales and won multiple awards; Homeworld also received a ""Silver"" sales award from the Entertainment and Leisure Software Publishers Association (ELSPA), indicating sales of at least 100,000 copies in the United Kingdom.Homeworld won Best Strategy Game at the 1999 Game Critics Awards prior to release,Homeworld inspired a series of real-time strategy games in the same universe, beginning in September 2000 when Sierra Studios released a stand-alone expansion by Barking Dog Studios, Homeworld: Cataclysm.",1
81,a81,b81,"Air Marshal Sir John Patrick Joseph McCauley, KBE, CB (18 March 1899 – 3 February 1989) was a senior commander in the Royal Australian Air Force (RAAF).",He served as Chief of the Air Staff from 1954 to 1957.,1
82,a82,b82,"A Duntroon graduate, McCauley spent four years in the Australian Military Forces before transferring to the RAAF in 1924.","He was Director of Training from 1936 to 1938, and commanded engineering and flying training schools for the first eighteen months of World War II.",1
83,a83,b83,"Having been promoted to group captain in 1940, he was posted to Singapore in June 1941 to take charge of all RAAF units defending the area.","He earned praise for his efforts in attacking invading Japanese forces before the fall of Singapore, and for his dedication in evacuating his men.",1
84,a84,b84,"After serving as Deputy Chief of the Air Staff in 1942–44, he was appointed to a senior operational role with the Royal Air Force's 2nd Tactical Air Force in Europe, where he saw out the rest of the war.Following the end of hostilities, McCauley again became Deputy Chief of the Air Staff.",In 1947 he was promoted to air vice marshal and appointed Chief of Staff at British Commonwealth Occupation Force Headquarters in Japan.,1
85,a85,b85,"Returning to Australia in June 1949, he served as the last Air Officer Commanding (AOC) Eastern Area and the inaugural AOC Home Command (now Air Command).","Raised to air marshal, he took up the position of Chief of the Air Staff in January 1954, and was knighted a year later.",1
86,a86,b86,"During his tenure in the RAAF's senior role, McCauley focused on potential deployments to Southeast Asia—particularly Vietnam—and threats from the north, commencing redevelopment of RAAF Base Darwin and recommending purchase of a light supersonic bomber to replace the Air Force's English Electric Canberra.","After retiring from military life in March 1957, he chaired various community and welfare organisations, serving as Federal President of the Air Force Association for ten years.",1
87,a87,b87,"He died in Sydney in 1989, aged 89.Born in Sydney on 18 March 1899, McCauley went to school at St Joseph's College, Hunters Hill, before entering the Royal Military College, Duntroon, in 1916.","He graduated as a lieutenant in 1919, and spent the next four years in staff positions with the Permanent Military Forces, including a posting to Britain.Promoted to squadron leader, McCauley was posted a third time to Britain in 1933, graduating from RAF Staff College, Andover, and qualifying as a flight instructor at Central Flying School, Wittering.",1
88,a88,b88,The following year he was attached to the Air Ministry in London.McCauley's seniority and instructional experience kept him in Australia on training assignments for the first eighteen months of World War II.,"From March to October 1940, he served as the inaugural commander of No.",1
89,a89,b89,"1 Engineering School at Ascot Vale, Victoria.During the Malayan Campaign in 1941–42, McCauley was in charge of RAAF units under Britain's Far East Air Force (FEAF).","By Christmas, as the Allies retreated from Malaya, Sembawang was ""the busiest airfield on Singapore island"", with two Dutch Glenn Martin bomber squadrons in addition to the remnants of the Hudson units, along with Nos.",1
90,a90,b90,21 and 453 Squadrons (merged due to losses as No.,"21/453 Squadron), operating obsolescent Brewster Buffalos.After his return to Australia late in February 1942, McCauley briefly served as Senior Air Staff Officer at North-Western Area Headquarters in Darwin, Northern Territory.",1
91,a91,b91,"He took up the position of Deputy Chief of the Air Staff (DCAS) in May, and was appointed a Commander of the Order of the British Empire (CBE) in the 1943 King's Birthday Honours, promulgated on 2 June.Completing his term as DCAS, McCauley was posted to the European theatre in November 1944, serving for the remainder of the war as Air Commodore (Operations), 2nd Tactical Air Force RAF (2nd TAF).Among a small coterie of wartime RAAF commanders earmarked for further senior roles, McCauley retained his rank of air commodore following the cessation of hostilities.","Upon his return to Australia, McCauley was made Air Officer Commanding Eastern Area.",1
92,a92,b92,"During the Malayan Emergency, he formed RAAF aircraft assigned for deployment into No.","90 (Composite) Wing, as directed by Chief of the Air Staff Air Marshal George Jones, to ensure that they would operate with a degree of autonomy rather than be dispersed throughout other Allied groups.",1
93,a93,b93,"He was appointed a Companion of the Order of the Bath (CB) in the 1951 Birthday Honours.In January 1952, Air Marshal Jones was succeeded by Air Marshal Sir Donald Hardman of the Royal Air Force.","The decision by Prime Minister Robert Menzies to appoint a British officer as CAS caused controversy in Australia, compounded by his stated reason that there was ""no RAAF officer of sufficient age, or operational experience, to take the post of Chief of the Air Staff"", which ignored the wartime records of figures like McCauley.",1
94,a94,b94,"Hardman changed the structure of the Air Force from one based on geographical area to one based on function, hence McCauley's Eastern Area Command evolved into Home Command (now Air Command) in 1953.McCauley was raised to Knight Commander of the Order of the British Empire (KBE) in the 1955 New Year Honours.","McCauley's tenure as CAS saw the beginning of a trend for the RAAF to equip with US aircraft types in preference to British types, with recommendations being put forward for the F-104 Starfighter (though in the event the French Dassault Mirage III was purchased) and C-130 Hercules.",1
